c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200
R,W,D,T,B,X,T,R,N,K,G,V,A,N,A,D,H,N,T,B,Y,P,O,G,P,V,L,K,V,B,P,S,Z,J,H,B,H,Z,U,T,Z,M,N,P,L,M,W,F,J,Y,Y,P,D,M,V,X,T,S,D,N,H,Y,Y,E,M,N,J,A,A,V,J,T,B,V,I,Z,C,S,T,P,D,S,P,G,X,H,J,P,H,V,J,P,D,T,K,W,H,Y,E,C,G,N,A,D,S,A,G,V,G,T,E,V,W,W,B,T,R,X,V,F,R,R,B,D,M,V,N,C,R,B,N,Y,A,S,S,C,M,Q,M,T,H,M,M,D,F,R,P,U,W,H,Y,Q,W,V,P,H,X,U,E,F,W,C,Y,P,K,Z,D,Q,R,X,O,L,S,Q,T,S,M,Q,W,I,X,Y,K,U,R,S,M,R,Y,U,M,G,H,S,C,W,P,S,M,R
L,U,T,Z,N,L,C,P,X,D,O,F,U,T,K,W,D,U,Y,M,F,R,J,V,D,O,T,B,R,U,B,M,N,A,I,S,T,X,B,R,H,F,M,V,M,Y,V,D,B,T,D,V,I,S,Z,E,Z,Z,U,S,C,X,X,J,X,R,J,B,G,N,J,Y,V,N,S,G,C,P,G,L,B,E,I,F,T,L,O,N,W,N,T,Y,A,A,S,Q,V,U,O,A,Z,J,V,X,D,P,I,L,S,W,Y,P,U,J,Q,Q,C,U,O,X,M,X,F,T,H,W,U,U,I,K,O,F,Z,G,Q,K,U,L,T,W,C,B,B,L,B,I,Q,L,K,I,A,U,O,B,W,S,Y,A,U,W,J,S,D,B,F,G,U,Q,T,F,D,F,Y,P,F,L,W,I,N,T,Y,C,B,J,U,R,O,V,H,A,A,J,B,N,G,J,H,N,S,I
H,J,J,I,E,G,G,R,B,D,J,B,E,G,T,V,Q,Q,P,U,N,U,O,X,J,X,O,U,N,A,K,I,D,R,Q,U,S,U,G,S,Q,E,V,E,W,F,F,B,O,E,N,G,F,J,K,N,P,I,Z,E,H,A,N,I,T,B,E,C,D,R,X,Y,A,L,Q,D,Q,F,A,O,R,R,T,Q,U,S,S,E,V,Q,T,L,Q,N,V,V,Y,C,H,S,D,D,V,H,Z,U,A,Q,O,R,P,J,H,M,Z,X,F,Y,O,K,U,Q,P,F,Y,W,Z,K,T,D,O,Z,L,Q,O,X,E,Q,T,R,F,D,H,S,X,D,G,U,B,V,Y,F,V,V,Z,N,E,W,M,E,N,R,F,J,C,C,L,D,Q,S,U,I,U,K,H,K,O,N,W,F,U,H,R,H,E,E,A,T,C,Y,U,R,I,Q,E,D,O,A,A,C
C,E,B,V,N,Z,A,X,E,W,Z,X,E,O,Z,K,R,P,I,Y,Y,R,Y,T,L,I,U,Y,Q,H,I,A,O,Y,Q,B,M,N,S,F,K,J,X,I,E,D,D,F,I,D,D,C,B,P,D,U,H,K,C,B,C,R,Z,D,H,F,V,Y,M,S,I,M,O,K,K,U,U,H,G,B,K,W,U,A,F,X,T,I,O,D,M,N,C,C,A,T,A,H,X,K,E,O,M,O,R,Z,I,Y,M,T,M,I,X,S,K,H,R,C,O,R,L,V,H,S,H,V,C,O,H,W,V,K,R,M,X,T,J,H,N,J,P,Q,O,Q,W,T,V,L,A,C,D,Z,M,V,U,D,O,E,F,E,C,A,J,L,D,F,Z,F,C,R,U,M,C,P,D,U,H,Q,U,K,S,F,R,P,A,H,O,M,A,Y,J,Z,Y,C,I,X,S,J,Q,Y
P,R,N,U,R,F,B,N,C,F,I,J,K,A,U,J,S,M,W,U,A,Y,Q,E,U,H,D,B,U,U,K,V,S,O,B,C,Y,U,D,V,N,Q,M,N,C,S,X,L,R,N,I,D,L,W,I,B,T,X,R,G,K,T,P,E,D,W,S,J,V,C,X,G,P,M,G,L,T,J,Q,K,C,W,F,J,Q,F,R,R,L,R,I,X,Y,S,G,B,C,G,V,P,Q,T,Z,S,V,E,R,O,E,W,M,K,B,M,I,B,Y,R,N,O,D,E,G,O,C,B,Q,O,D,U,D,U,S,J,C,J,N,T,L,V,Z,X,T,Q,V,B,T,X,C,R,I,U,V,W,Z,I,B,F,L,N,Q,G,L,Q,Z,N,H,V,T,T,K,Q,B,C,X,G,Z,O,L,D,O,B,M,J,R,Y,E,F,Z,B,F,F,D,R,K,Y,F,N,G,Q
D,N,N,E,Y,L,X,B,B,Z,I,K,Z,I,V,S,R,Y,S,L,O,O,U,U,Z,L,T,R,B,P,W,U,M,N,D,U,W,H,Z,E,O,J,M,T,H,U,K,N,M,C,A,Z,F,O,H,I,L,J,O,B,T,G,I,Y,Y,F,L,U,Q,B,O,F,X,Z,Q,Y,T,E,M,V,T,E,O,J,A,X,Z,Q,Z,X,W,Z,P,C,C,J,E,W,X,G,A,P,N,C,V,A,Z,Y,I,L,X,G,J,T,S,W,K,V,X,C,M,B,S,R,K,R,M,K,B,U,N,N,L,R,P,F,Y,E,Z,T,J,S,M,S,G,I,T,W,Q,P,F,U,H,C,Z,R,G,Q,B,K,F,W,S,I,N,T,D,L,Q,W,X,J,J,T,Y,A,E,Z,G,J,W,G,E,W,X,S,Z,V,L,D,V,J,K,D,A,W,M,T,Z,U
G,G,A,D,I,J,R,E,A,H,N,U,H,V,D,D,M,O,A,V,X,P,C,F,L,W,O,M,F,R,W,E,G,Y,N,I,W,G,K,N,D,G,N,G,R,S,Y,B,A,Q,E,W,L,O,E,J,B,Q,C,A,Z,Q,R,I,Y,S,O,R,B,B,I,I,X,R,V,U,Z,E,M,S,K,L,O,K,V,V,S,F,M,Y,D,H,C,B,G,B,K,N,F,U,G,R,D,S,Y,V,A,W,G,G,N,I,A,Y,O,P,O,B,W,H,O,U,K,V,G,F,K,V,I,S,I,B,E,V,W,P,Y,E,D,M,A,Z,X,T,J,A,O,J,E,D,G,F,A,P,O,S,O,U,X,M,S,P,B,L,J,T,K,Z,I,N,R,Y,M,N,S,M,F,E,T,I,V,L,N,I,B,P,A,X,I,H,I,C,E,H,W,F,U,I,U,Q
S,H,I,N,K,B,W,Q,O,G,E,O,A,T,V,H,C,C,H,U,S,Q,I,M,Y,M,V,V,S,J,A,W,B,C,Q,U,Z,J,E,N,K,U,H,W,O,U,W,B,U,G,F,Q,Z,I,Y,O,Z,B,C,J,U,F,G,O,P,S,G,P,B,E,F,B,F,G,L,Z,W,X,Y,Z,J,C,U,X,Q,P,R,Z,G,I,R,C,O,L,W,M,L,W,A,E,M,I,S,U,D,S,T,N,M,Y,L,J,E,O,C,E,E,V,W,L,J,V,I,C,Z,Y,C,V,B,X,T,J,Z,N,D,X,X,U,E,Q,T,K,K,D,J,D,J,U,S,N,Q,O,L,N,Y,J,K,F,T,E,K,C,U,K,Y,D,O,U,W,V,C,H,Z,Y,M,R,E,L,O,M,G,Y,O,T,F,X,W,E,P,Z,J,J,X,R,H,Q,T,H,U,M
Y,B,S,P,P,A,A,C,W,G,Y,K,V,R,C,S,I,M,W,M,F,X,G,W,Z,S,I,O,B,I,P,N,K,N,X,Q,Q,U,O,S,Q,Q,Z,J,F,W,A,L,B,T,W,V,K,R,H,M,P,Q,T,H,R,G,H,G,M,U,O,C,O,G,J,Q,B,L,T,F,S,F,B,Q,Z,Z,L,F,R,G,L,X,K,R,M,D,I,S,T,D,F,G,T,R,F,T,M,U,L,A,A,P,C,Q,V,D,I,P,D,Q,C,M,Z,A,O,U,F,K,C,D,G,F,X,G,M,L,D,Q,R,A,X,D,G,Z,E,T,F,O,Z,R,G,H,O,X,R,C,N,Q,D,L,N,Y,B,H,L,B,I,H,B,C,B,R,Y,H,J,U,D,H,Q,L,O,T,X,Q,M,S,G,J,J,B,W,D,R,I,T,S,C,L,X,E,Q,K,N,C
I,X,X,Z,M,W,X,L,T,U,C,G,U,C,H,W,A,K,B,J,U,A,I,A,M,B,Z,Y,L,J,U,R,B,K,O,O,C,V,D,X,U,K,N,G,V,X,H,K,D,S,Q,Y,R,J,A,L,T,S,C,A,I,X,P,D,R,V,V,V,M,Q,X,K,S,M,X,S,Z,F,Q,B,S,L,T,Q,A,V,X,V,D,B,O,W,V,D,W,T,T,F,V,L,N,I,U,Z,V,X,I,M,D,O,O,P,R,C,Y,M,G,K,H,Q,O,K,N,A,W,I,P,E,U,B,R,V,B,E,B,H,U,N,J,G,P,D,O,H,V,N,E,P,F,R,P,P,V,Z,H,B,Y,N,Q,I,E,W,S,A,D,U,P,D,M,L,N,U,J,L,Q,B,Y,Y,R,S,R,T,M,A,P,F,Z,J,I,A,W,S,L,J,J,Q,H,F,E,C
